,ori,lo_transittime
0,0.0,16.0
1,2.0,14.0
2,3.0,20.0
3,6.0,16.0
4,7.0,12.0
5,8.0,5.0
6,11.0,21.0
7,12.0,13.0
8,16.0,16.0
9,21.0,22.0
10,25.0,12.0
11,27.0,37.0
12,28.0,5.0
13,33.0,3.0
14,34.0,20.0
15,35.0,10.0
16,36.0,18.0
17,37.0,9.0
18,38.0,11.0
19,41.0,8.0
20,42.0,7.0
21,44.0,12.0
22,50.0,13.0
23,52.0,9.0
24,54.0,20.0
25,55.0,8.0
26,56.0,12.0
27,57.0,20.0
28,58.0,10.0
29,63.0,20.0
30,65.0,13.0
31,68.0,28.0
32,70.0,8.0
33,74.0,36.0
34,75.0,5.0
35,77.0,17.0
36,79.0,14.0
37,80.0,15.0
38,86.0,17.0
39,88.0,34.0
40,92.0,7.0
41,94.0,16.0
42,97.0,36.0
43,99.0,16.0
44,101.0,9.0
45,103.0,11.0
46,105.0,19.0
47,106.0,13.0
48,109.0,17.0
49,115.0,29.0
50,116.0,15.0
51,118.0,23.0
52,120.0,13.0
53,121.0,25.0
54,122.0,22.0
55,134.0,17.0
56,135.0,8.0
57,136.0,14.0
58,139.0,9.0
59,140.0,12.0
60,142.0,7.0
61,144.0,29.0
62,146.0,7.0
63,148.0,27.0
64,149.0,11.0
65,156.0,8.0
66,157.0,18.0
67,158.0,11.0
68,162.0,28.0
69,163.0,1.0
70,164.0,6.0
71,165.0,20.0
72,166.0,10.0
73,168.0,11.0
74,170.0,12.0
75,174.0,14.0
76,177.0,38.0
77,178.0,12.0
78,179.0,10.0
79,182.0,19.0
80,183.0,13.0
81,185.0,30.0
82,186.0,5.0
83,188.0,11.0
84,189.0,15.0
85,191.0,16.0
86,194.0,7.0
87,197.0,19.0
88,198.0,11.0
89,199.0,9.0
90,200.0,16.0
91,201.0,8.0
92,202.0,18.0
93,205.0,6.0
94,208.0,21.0
95,209.0,38.0
96,210.0,7.0
97,212.0,18.0
98,213.0,13.0
99,215.0,25.0
100,216.0,11.0
101,217.0,39.0
102,221.0,5.0
103,230.0,14.0
104,239.0,12.0
105,242.0,22.0
106,244.0,29.0
107,245.0,20.0
108,247.0,12.0
109,251.0,5.0
110,252.0,22.0
111,253.0,18.0
112,254.0,8.0
113,255.0,8.0
114,256.0,17.0
115,260.0,11.0
116,261.0,5.0
117,264.0,11.0
118,265.0,12.0
119,266.0,6.0
120,270.0,9.0
121,271.0,6.0
122,275.0,5.0
123,276.0,21.0
124,277.0,13.0
125,280.0,6.0
126,281.0,10.0
127,282.0,14.0
128,284.0,6.0
129,285.0,10.0
130,287.0,26.0
131,290.0,24.0
132,291.0,31.0
133,292.0,22.0
134,295.0,9.0
135,296.0,9.0
136,297.0,13.0
137,301.0,9.0
138,304.0,4.0
139,312.0,5.0
140,313.0,10.0
141,314.0,10.0
142,316.0,25.0
143,317.0,33.0
144,319.0,15.0
145,322.0,1.0
146,324.0,17.0
147,325.0,16.0
148,328.0,22.0
149,329.0,6.0
150,331.0,36.0
151,333.0,10.0
152,335.0,9.0
153,336.0,14.0
154,338.0,33.0
155,339.0,6.0
156,340.0,16.0
157,342.0,33.0
158,343.0,12.0
159,345.0,13.0
160,348.0,20.0
161,349.0,18.0
162,351.0,31.0
163,358.0,6.0
164,362.0,18.0
165,367.0,25.0
166,370.0,5.0
167,372.0,16.0
168,373.0,4.0
169,376.0,18.0
170,377.0,22.0
171,380.0,6.0
172,382.0,25.0
173,384.0,25.0
174,387.0,35.0
175,391.0,21.0
176,395.0,12.0
177,397.0,17.0
178,399.0,12.0
179,400.0,5.0
180,401.0,10.0
181,402.0,12.0
182,405.0,3.0
183,407.0,13.0
184,409.0,16.0
185,412.0,31.0
186,416.0,3.0
187,417.0,22.0
188,418.0,40.0
189,420.0,21.0
190,422.0,6.0
191,425.0,19.0
192,432.0,19.0
193,433.0,11.0
194,441.0,33.0
195,442.0,20.0
196,448.0,8.0
197,450.0,37.0
198,459.0,17.0
199,462.0,32.0
200,464.0,13.0
201,466.0,12.0
202,470.0,22.0
203,472.0,23.0
204,473.0,11.0
205,481.0,23.0
206,482.0,8.0
207,483.0,18.0
208,486.0,10.0
209,488.0,9.0
210,490.0,14.0
211,491.0,8.0
212,493.0,16.0
213,494.0,18.0
214,496.0,8.0
215,497.0,23.0
216,498.0,28.0
217,499.0,30.0
218,504.0,15.0
219,505.0,21.0
220,509.0,11.0
221,514.0,24.0
222,515.0,7.0
223,516.0,21.0
224,517.0,13.0
225,522.0,26.0
226,523.0,12.0
227,525.0,6.0
228,529.0,15.0
229,531.0,8.0
230,532.0,11.0
231,534.0,10.0
232,540.0,18.0
233,541.0,38.0
234,542.0,4.0
235,543.0,6.0
236,544.0,15.0
237,549.0,4.0
238,552.0,8.0
239,553.0,26.0
240,554.0,6.0
241,555.0,18.0
242,558.0,9.0
243,561.0,4.0
244,567.0,31.0
245,571.0,12.0
246,572.0,20.0
247,578.0,18.0
248,581.0,12.0
249,582.0,7.0
250,583.0,3.0
251,584.0,15.0
252,585.0,6.0
253,587.0,16.0
254,590.0,10.0
255,592.0,9.0
256,594.0,13.0
257,595.0,25.0
258,598.0,6.0
259,604.0,13.0
260,605.0,6.0
261,616.0,8.0
262,617.0,6.0
263,622.0,7.0
264,623.0,25.0
265,626.0,26.0
266,627.0,14.0
267,628.0,18.0
268,629.0,19.0
269,632.0,3.0
270,633.0,9.0
271,637.0,32.0
272,639.0,10.0
273,640.0,27.0
274,641.0,28.0
275,644.0,31.0
276,647.0,5.0
277,650.0,19.0
278,654.0,10.0
279,655.0,6.0
280,657.0,25.0
281,659.0,13.0
282,661.0,11.0
283,662.0,14.0
284,663.0,32.0
285,665.0,14.0
286,669.0,8.0
287,675.0,8.0
288,676.0,15.0
289,678.0,17.0
290,680.0,30.0
291,681.0,6.0
292,690.0,15.0
293,691.0,20.0
294,695.0,25.0
295,696.0,20.0
296,698.0,9.0
297,703.0,8.0
298,704.0,10.0
299,708.0,10.0
300,709.0,15.0
301,712.0,16.0
302,713.0,10.0
303,716.0,29.0
304,717.0,10.0
305,718.0,6.0
306,719.0,14.0
307,727.0,17.0
308,729.0,16.0
309,731.0,24.0
310,732.0,3.0
311,735.0,27.0
312,736.0,32.0
313,737.0,5.0
314,738.0,8.0
315,739.0,12.0
316,743.0,1.0
317,744.0,25.0
318,745.0,21.0
319,746.0,2.0
320,748.0,13.0
321,749.0,15.0
322,750.0,9.0
323,751.0,16.0
324,753.0,7.0
325,754.0,8.0
326,755.0,7.0
327,757.0,9.0
328,758.0,11.0
329,759.0,16.0
330,763.0,16.0
331,764.0,4.0
332,765.0,9.0
